File,Line,Snippet
src/components\dashboard\Header.tsx,53,"<Button variant=""ghost"" size=""icon"" className=""relative"">"
src/components\dashboard\Header.tsx,75,"<Button variant=""ghost"" className=""flex items-center gap-2 px-3"">"
src/components\dashboard\Header.tsx,107,"onClick={handleSignOut}"
src/components\dashboard\RecentDocuments.tsx,55,"<Button variant=""ghost"" size=""icon"" title=""View"">"
src/components\dashboard\RecentDocuments.tsx,58,"<Button variant=""ghost"" size=""icon"" title=""Download"">"
src/components\dashboard\SavedDrafts.tsx,104,"<Button asChild>"
src/components\dashboard\SavedDrafts.tsx,122,"<Button asChild>"
src/components\dashboard\SavedDrafts.tsx,137,"<Button variant=""ghost"" size=""sm"" asChild>"
src/components\dashboard\SavedDrafts.tsx,159,"<Button variant=""ghost"" size=""icon"" asChild title=""Edit Draft"">"
src/components\dashboard\SavedDrafts.tsx,167,"<Button variant=""ghost"" size=""icon"">"
src/components\dashboard\SavedDrafts.tsx,173,"<DropdownMenuItem onClick={() => deleteDraft(draft.id)} className=""text-destructive"">"
src/components\dashboard\Sidebar.tsx,52,"onClick={() => setIsMobileOpen(!isMobileOpen)}"
src/components\dashboard\Sidebar.tsx,72,"onClick={() => setIsCollapsed(!isCollapsed)}"
src/components\dashboard\Sidebar.tsx,122,"onClick={() => setIsMobileOpen(false)}"
src/components\dashboard\TemplateCard.tsx,41,"<Button variant=""ghost"" size=""sm"" className=""gap-1"" asChild>"
src/components\template-builder\MetadataPanel.tsx,75,"<Button variant=""outline"" className=""flex-1"">India</Button>"
src/components\template-builder\MetadataPanel.tsx,76,"<Button variant=""outline"" className=""flex-1"">Global</Button>"
src/components\template-builder\MetadataPanel.tsx,183,"<Button variant=""destructive"" className=""w-full mt-4"" size=""sm"">"
src/components\template-builder\MetadataPanel.tsx,209,"onClick={() => handleMetadataChange('fieldType', type)}"
src/components\template-builder\MetadataPanel.tsx,289,"onClick={() => handleStyleChange('alignment', 'left')}"
src/components\template-builder\MetadataPanel.tsx,297,"onClick={() => handleStyleChange('alignment', 'center')}"
src/components\template-builder\MetadataPanel.tsx,305,"onClick={() => handleStyleChange('alignment', 'right')}"
src/components\template-builder\PreviewPanel.tsx,69,"<Button variant=""outline"" size=""sm"">"
src/components\template-builder\PreviewPanel.tsx,72,"<Button variant=""outline"" size=""sm"">"
src/components\template-builder\PreviewPanel.tsx,75,"<Button variant=""outline"" size=""sm"">"
src/components\template-builder\PreviewPanel.tsx,78,"<Button variant=""outline"" size=""sm"">"
src/components\template-builder\PreviewPanel.tsx,81,"<Button size=""sm"">"
src/components\template-builder\PreviewPanel.tsx,103,"<Button size=""sm"" variant=""outline"" type=""button"" onClick={() => format('bold')}><b>B</b></Button>"
src/components\template-builder\PreviewPanel.tsx,104,"<Button size=""sm"" variant=""outline"" type=""button"" onClick={() => format('italic')}><i>I</i></Button>"
src/components\template-builder\PreviewPanel.tsx,105,"<Button size=""sm"" variant=""outline"" type=""button"" onClick={() => format('underline')}><u>U</u></Button>"
src/components\template-builder\PreviewPanel.tsx,129,"onClick={() => setIsEditingBody(true)}"
src/components\template-builder\TemplateCanvas.tsx,149,"<Button variant={previewMode ? 'default' : 'outline'} onClick={() => setPreviewMode(false)} className=""mr-2"">Edit</Button>"
src/components\template-builder\TemplateCanvas.tsx,150,"<Button variant={previewMode ? 'outline' : 'default'} onClick={() => setPreviewMode(true)}>Preview</Button>"
src/components\template-builder\TemplateCanvas.tsx,158,"No sections yet. <Button onClick={onAddSection}>Add Section</Button>"
src/components\template-builder\TemplateCanvas.tsx,198,"<Button size=""sm"" variant=""destructive"" className=""ml-4"" onClick={() => onDeleteSection(section.id)}>Delete Section</Button>"
src/components\template-builder\TemplateCanvas.tsx,218,"<Button size=""sm"" variant=""outline"" onClick={() => onAddColumn(section.id)}>+ Add Column</Button>"
src/components\template-builder\TemplateCanvas.tsx,224,"<Button onClick={onAddSection}>+ Add Section</Button>"
src/components\template-builder\TemplateCanvas.tsx,283,"<Button className=""mt-4 w-full"" variant=""outline"" onClick={() => setPropertyPanel(null)}>Close</Button>"
src/components\template-builder\TemplateCanvas.tsx,307,"onClick={() => onFieldClick(field, sectionId, column.id)}"
src/components\template-builder\TemplateCanvas.tsx,322,"<Button size=""sm"" className=""mt-2"" onClick={() => onAddField(sectionId, column.id)}>+ Add Field</Button>"
src/components\template-builder\TemplateCanvas.tsx,346,"onClick={e => { e.stopPropagation(); setEditingField({ sectionId, columnId, fieldId: field.id, type: 'label' }); }}"
src/components\template-builder\TemplateCanvas.tsx,351,"<Button size=""xs"" variant=""destructive"" className=""ml-4 px-4"" onClick={e => { e.stopPropagation(); onDelete(); }}>Delete</Button>"
src/components\template-builder\TemplateCanvas.tsx,399,"onClick={e => { e.stopPropagation(); setEditingField({ sectionId, columnId, fieldId, type: 'placeholder' }); }}"
src/components\template-builder\ToolbarPanel.tsx,107,"<Button size=""sm"" variant={activeTab === 'elements' ? 'default' : 'outline'} onClick={() => setActiveTab('elements')}>Elements</Button>"
src/components\template-builder\ToolbarPanel.tsx,108,"<Button size=""sm"" variant={activeTab === 'presets' ? 'default' : 'outline'} onClick={() => setActiveTab('presets')}>Presets</Button>"
